dateuuid,datename,value
afc055bb-7e90-4b42-8629-aea14842e8d5,1st,01
b43c5ad4-fa0a-4377-9266-8680694e09be,2nd,02
7678a785-f037-4494-8473-dcffb196a12c,3rd,03
5f5ae3bf-f88c-4aeb-ae94-e8632b5758fe,4th,04
c25d3a4a-6fd4-46dc-a64e-96af00cda29d,5th,05
540dae24-9411-4106-b8e1-1996d2a077f2,6th,06
26909dd3-594b-4ca9-a321-fcfc067770dd,7th,07
a6a59328-5162-4fc4-af01-0fcc11364fee,8th,08
69980514-cfcc-4df7-bfe5-177ea6b49258,9th,09
62cd0808-3c1e-40c1-bc04-d4397348a4f6,10th,10
22d633bc-4933-40bf-9fd8-3fe152a34229,11th,11
fa578913-df21-4ae1-94ad-2e2be69619f9,12th,12
bdf38991-0b11-4f55-85ed-7f8abfdf0e06,13th,13
cd15ef64-5c86-4aee-b9a8-425356cfedef,14th,14
8ed1f4f6-4d68-4c8a-9ae9-127d3bf6c1af,15th,15
7f1cb686-4080-4a60-9ee7-1d6956e4dba4,16th,16
38fe5eb7-6793-45c3-b143-e31d5d8e49a1,17th,17
9b648325-c3fb-40f1-87b8-d1b42566f114,18th,18
889d0a67-63ad-4d5c-959f-3c8064c57d51,19th,19
7d1bcc82-9fe4-4687-91e2-ea079f57a553,20th,20
22baa49c-fee4-474e-a2b2-9248fabcfd80,21st,21
cfb58577-2540-47d9-9db0-8acc4a27ce47,22nd,22
e934757c-24ab-4469-92c8-7e460bf015fe,23rd,23
65c3f15e-26da-47d2-a857-4b3b82c13ad0,24th,24
9fd0c2f7-488b-4b44-9a1a-708ae9ba2264,25th,25
12faaafb-0464-449d-837a-81cc8ebc51e3,26th,26
3ea75a77-eeed-46eb-a640-0f64694e883f,27th,27
8e25100e-67be-4958-bbbf-4671220867f4,28th (or last),28
227307e4-a678-42ff-9a33-0eb09cda7ccc,29th (or last),29
747b143e-b9ca-4113-ac64-167d54123748,30th (or last),30
f22d7308-0c2e-406f-a5d0-44ad1334c8d7,31st (or last),31
